Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,0,0,0,1,1,1
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0,0,0,1,1,1
REACTOME_DEGRADATION_OF_AXIN,0,0,0,1,1,1
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,0,0,0,1,1,1
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,0,0,0,1,1,1
REACTOME_DEGRADATION_OF_DVL,0,0,0,1,1,1
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,0,0,0,1,1,1
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,1,1,1,0,0,0
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,0,0,0,1,1,0
REACTOME_DEUBIQUITINATION,0,0,0,1,1,1
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,0,1,0,0,0,0
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,0,0,0,1,1,1
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE,0,0,0,1,0,1
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,0,0,0,1,1,1
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,0,0,0,1,1,1
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,0,0,0,1,1,0
REACTOME_DNA_REPAIR,0,0,0,1,0,0
REACTOME_DNA_REPLICATION,0,0,0,1,1,1
REACTOME_DNA_REPLICATION_PRE_INITIATION,0,0,0,1,1,1
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,0,0,0,1,1,1
REACTOME_DUAL_INCISION_IN_TC_NER,0,0,0,1,1,1
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,0,0,0,0,0,1
REACTOME_ECM_PROTEOGLYCANS,1,1,1,0,0,0
REACTOME_ELASTIC_FIBRE_FORMATION,1,1,1,0,0,0
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT,0,0,0,1,1,1
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,0,0,0,1,1,1
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,0,0,0,1,1,0
REACTOME_EPH_EPHRIN_SIGNALING,0,0,0,1,1,1
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC,0,0,0,1,1,1
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,0,0,0,1,1,1
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,0,0,0,0,1,0
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,0,0,1,1,1,0
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,0,0,1,1,1,0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,1,1,1,0,0,0
REACTOME_FATTY_ACID_METABOLISM,0,0,0,1,1,1
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,0,0,0,1,1,1
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,0,0,0,1,1,1
REACTOME_FGFR2_ALTERNATIVE_SPLICING,0,0,0,1,1,1
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,0,0,0,1,1,1
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,0,0,0,1,1,0
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,0,0,0,1,1,0
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,0,0,0,1,1,1
REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX,0,0,0,1,1,1
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,0,0,0,1,1,1
REACTOME_G0_AND_EARLY_G1,0,0,0,0,1,1
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,0,0,0,1,1,1
REACTOME_G2_M_CHECKPOINTS,0,0,0,1,1,1
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,0,0,0,1,1,1
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,0,0,0,1,1,1
REACTOME_GLUCONEOGENESIS,0,0,0,1,1,0
REACTOME_GLUCOSE_METABOLISM,0,0,0,1,1,1
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0,0,0,1,1,1
REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION,0,0,0,1,1,1
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,0,0,0,1,1,1
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING,0,1,1,0,0,0
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,1,1,1,0,0,0
REACTOME_HCMV_INFECTION,0,0,0,1,0,1
REACTOME_HCMV_LATE_EVENTS,0,0,0,1,0,0
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,0,0,0,1,1,1
REACTOME_HEDGEHOG_OFF_STATE,0,0,0,1,1,1
REACTOME_HEDGEHOG_ON_STATE,0,0,0,1,1,1
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY,0,0,0,1,1,1
REACTOME_HIV_INFECTION,0,0,0,1,1,1
REACTOME_HIV_LIFE_CYCLE,0,0,0,1,1,1
REACTOME_HIV_TRANSCRIPTION_ELONGATION,0,0,0,1,1,1
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,0,0,0,1,1,1
REACTOME_HSF1_ACTIVATION,0,0,0,0,1,1
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,0,1,1,0,0,1
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,1,0,0,0,0,1
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,0,1,0,0,0,0
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,0,0,0,0,1,0
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,0,0,0,1,1,1
REACTOME_INFLUENZA_INFECTION,0,0,1,1,1,0
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,0,0,0,1,0,1
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,1,0,0,0,0,0
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,0,0,0,1,0,0
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE,0,0,0,1,1,1
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1,1,1,0,0,0
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,0,0,0,1,1,1
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,0,0,0,1,0,0
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,0,0,0,1,1,1
REACTOME_INTERLEUKIN_12_SIGNALING,0,0,0,1,1,1
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,0,0,0,1,1,1
REACTOME_INTERLEUKIN_1_SIGNALING,0,0,0,1,1,1
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,1,1,0,0,0,0
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,0,0,0,1,1,1
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,0,0,0,1,1,1
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,0,0,0,0,0,1
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,0,0,0,1,1,1
REACTOME_IRON_UPTAKE_AND_TRANSPORT,0,0,0,1,0,0
REACTOME_JOSEPHIN_DOMAIN_DUBS,0,0,0,0,0,1
REACTOME_KILLING_MECHANISMS,0,0,0,0,1,0
REACTOME_L1CAM_INTERACTIONS,1,0,0,0,0,0
REACTOME_LAMININ_INTERACTIONS,1,1,1,0,0,0
REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,0,0,0,1,1,1
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,0,0,0,1,1,1
REACTOME_MAP2K_AND_MAPK_ACTIVATION,0,1,1,0,0,0
REACTOME_MAPK6_MAPK4_SIGNALING,0,0,0,1,1,1
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,0,0,0,0,1,1
REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION,0,0,0,1,0,0
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,0,0,0,1,1,1
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0,0,1,1,1,1
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,0,1,0,0,0,0
REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION,0,0,0,1,1,1
