Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,1.0,1.0,1.0,1.74225232706843e-18,1.7026734131463502e-14,1.09338654020835e-06
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,1.0,1.0,1.0,0.0019554990727437,0.0271991420574628,0.0044097895575322
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,1.0,1.0,1.0,7.593050034544629e-12,1.4607221555288497e-11,9.497843607398568e-07
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1.0,1.0,5.84289618988881e-07,2.8787415615900003e-13,0.0040044224857332,1.0
REACTOME_CELL_CELL_COMMUNICATION,0.0082646797552304,0.003255657101177,0.0400009810636785,1.0,1.0,1.0
REACTOME_CELL_CYCLE_CHECKPOINTS,1.0,1.0,1.0,4.60679840724485e-07,8.958009908745939e-06,6.8107081862999595e-06
REACTOME_CELL_CYCLE_MITOTIC,1.0,1.0,1.0,2.22678718199428e-10,8.76512847243744e-08,1.09338654020835e-06
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,3.70873419601385e-08,1.78945780642169e-06,8.850809681098229e-07,1.0,1.0,1.0
REACTOME_CELL_JUNCTION_ORGANIZATION,0.0037327941716016,0.0013640254563774,0.0043012591348091,1.0,1.0,1.0
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.016804962944855,0.0273216121409154,0.0345629479878439,1.0,1.0,1.0
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,1.0,1.0,0.0428559537087433,1.0,1.0,1.0
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,1.0,1.0,1.0,1.0,1.0,0.0249544934620189
REACTOME_CHOLESTEROL_BIOSYNTHESIS,1.0,1.0,1.0,0.0002998607041241,0.0046252138509769,0.025123035788471
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,1.0,1.0,1.0,2.7294677832737196e-07,1.8459126128501e-07,0.000263070612511
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,1.0,1.0,1.0,7.34664214664474e-07,1.4392498088245e-06,4.54792197465931e-05
